"Data","Y","X","mediator","b1","b1_pvalue","b1_ci_lwr","b1_ci_upr","b2","b2_pvalue","b2_ci_lwr","b2_ci_upr","b3","b3_pvalue","b3_ci_lwr","b3_ci_upr","b4","b4_pvalue","b4_ci_lwr","b4_ci_upr","b2_b4","b2_b4_ci_lwr","b2_b4_ci_upr"
"mesa","cvd_10y_HF","nPhysFac","PhysAct",0.2502,0.00437,-0.1854848159376,0.596146550248549,0.09873,0,0.0640896445828436,0.124758558266868,0.25597,0.00359,-0.161381779793731,0.599746693092926,-0.11145,0.1395,-0.311270820450834,0.0519039768348693,-0.011,-0.0351257296551616,0.0044977415052036
"mesa","cvd_10y_HF","nPhysFac","currentSmoker",0.26137,0.00295,-0.152005644906294,0.602722111293677,0.03965,0.00617,-0.00706585212198373,0.0681641388556451,0.25597,0.00359,-0.16138177979373,0.599746693092927,0.13323,0.14361,-0.0705516310888863,0.36378229976884,0.00528,-0.00263779363698433,0.0185376562895807
"mesa","cvd_10y_HF","nPhysFac","alc",0.26295,0.00268,-0.156968848376222,0.600819598693327,0.02903,0.00194,0.00571828285540853,0.0486831406564902,0.25597,0.00359,-0.16138177979373,0.599746693092923,-0.23371,0.08514,-0.520899458687962,0.118919741791676,-0.00678,-0.0183974680458165,0.00474858981120377
"mesa","cvd_10y_HF","nRS","FamIncome",0.18424,0.00112,0.000271303198241232,0.356349465968082,-0.02577,0.03745,-0.0688509942958414,0.0223097215414111,0.18446,0.00111,0.000856392625014303,0.356297235984012,-0.04399,0.55114,-0.160170846511803,0.139244793031773,0.00113,-0.00420525823869804,0.00803314151038876
"mesa","cvd_10y_HF","nRS","nutrition",0.18277,0.00119,-0.00604350130600799,0.360898792599784,0.01124,0.10664,-0.00944141112161982,0.0387826394600504,0.18446,0.00111,0.000856392625014158,0.35629723598401,-0.31929,0.00927,-0.586596659242535,-0.0772019519872114,-0.00359,-0.0127292349191882,0.00268185229227797
"mesa","cvd_10y_HF","nRS","PhysAct",0.18136,0.0013,-0.00101586703784551,0.355874446327504,0.01631,0.14948,-0.022792049431124,0.0488909810544413,0.18446,0.00111,0.000856392625014036,0.356297235984006,-0.10548,0.1273,-0.258401448275437,0.011031833105017,-0.00172,-0.00613604761725558,0.00430218728008916
"mesa","cvd_10y_HF","nRS","currentSmoker",0.18116,0.00137,0.000863525703464915,0.357913875806288,0.01019,0.2982,-0.0194826064161943,0.0422995406974726,0.18446,0.00111,0.000856392625014419,0.356297235984009,0.28053,0.00086,0.104856762103152,0.458936286407541,0.00286,-0.00563509108164608,0.0145971428169807
"mesa","cvd_10y_HF","nRS","alc",0.18441,0.00112,-0.00374827189360524,0.357504843495896,-0.00554,0.39165,-0.0273735055153906,0.0105208432631977,0.18446,0.00111,0.000856392625014687,0.356297235984012,0.12248,0.3335,-0.144165129116302,0.370194269483585,-0.00068,-0.00791173869655776,0.00259246683813803
"mesa","cvd_10y_noHF","nSES","FamIncome",0.2566,0.00193,0.0756798255410607,0.460198855546413,-0.20554,0,-0.253393183946188,-0.165405270689291,0.23863,0.00428,0.0510462527213095,0.445340795056391,-0.13793,0.07932,-0.27441893335257,0.0195076017539063,0.02835,-0.00404996992689159,0.0604709104443095
"mesa","cvd_10y_noHF","nSES","nutrition",0.24264,0.00361,0.0542932101275866,0.460339625517344,-0.02984,0.00032,-0.0483717866944541,-0.0103275509951343,0.23863,0.00428,0.0510462527213101,0.445340795056391,-0.42462,0.00225,-0.727744699424438,-0.155851857827895,0.01267,0.00282096655812019,0.0265682650673142
