"boot","b1","b21","b22","b23","b3","b41","b42","b43"
19,-0.0148455463904086,-0.225833393191661,-0.09558278709888,0.0174739965791783,-0.0536206145788778,-0.0597420418919404,-0.0511800646720006,0.937986895404571
20,0.115949579558622,-0.23981800519292,-0.102548679251456,0.0250680253295658,0.0539122070238065,-0.0327698451896408,-0.285812157473515,0.555726994291557
21,0.0513804114685824,-0.232034417258894,-0.0875861251465583,0.021976977252085,0.0131303341867766,-0.0703337719683443,-0.0387044031755418,0.659883649957858
22,0.0200482146021464,-0.229015979736183,-0.0867309819536193,0.0293479271035536,-0.0583664135838489,-0.186138214498217,-0.241943968065522,0.413296533279389
23,0.161353731031438,-0.23653640045154,-0.103195159659439,0.0227435722722406,0.0911507572497077,-0.154175752343943,-0.0457396344423737,0.829409684557621
24,0.139401546156978,-0.230907349960531,-0.104457621098338,0.0213562848313816,0.0522663899835733,-0.216114997793194,-0.18132767617285,0.683347558736651
25,0.107555813798438,-0.261535219526053,-0.0913676762169444,0.0237521162662016,0.0371333479983961,-0.140624364781553,-0.0276497462925349,0.956979378126622
26,0.109183807434838,-0.256744591007141,-0.109032222103899,0.0234260052384643,0.0237848298777603,-0.225002320011094,-0.0412318908278873,0.683824822612592
27,0.0583816316812383,-0.23815677720717,-0.101342433657544,0.0158955600731886,-0.00389543788585628,-0.140985191886771,-0.139028013611409,0.534901164473299
28,0.068135064755435,-0.254115357523176,-0.102909414891833,0.0207027852057411,-0.0412541792572641,-0.284828565691256,-0.0936655839976615,0.896557947048297
29,0.0483683061898991,-0.220390755159477,-0.0718401093226008,0.0144903365971112,-0.00856348497808794,-0.0604448846981257,-0.214675256153282,1.02222793785558
30,0.0337401982090518,-0.251538416749726,-0.0849455667589635,0.0218035253842134,-0.0424009392240853,-0.167874167872517,-0.181684177583202,0.679459350738742
31,0.00177807148566506,-0.251011179278653,-0.103621197172044,0.0103683643262214,-0.0448511899160985,-0.162251554715094,0.00829314528460048,0.713194288087682
32,0.0349462384450044,-0.248822099324109,-0.0997065765466563,0.0332481287865305,-0.0477285955158434,-0.171995187726224,-0.0497627094710757,0.692003860525352
33,0.0219941552805293,-0.23079245148224,-0.101288642746467,0.0192012689757505,-0.0273122757831894,-0.028774082502031,-0.197881903518399,0.869941094156584
34,0.0786691452959541,-0.239338596535192,-0.079157884815359,0.0185290641796574,0.00671012532538666,-0.199342098260742,-0.0639579737013801,0.597675715907537
35,0.0521816679444108,-0.227383539998569,-0.088087041080493,0.0233463490952027,0.00706658339225656,-0.133067940099728,-0.059621687833141,0.416074402733291
36,0.108545327435772,-0.218911535187451,-0.0855410329248617,0.0250786706787552,-0.000246753306047701,-0.245838192338243,-0.226158700338053,0.848136240995214
37,0.0723021223433142,-0.223029989051825,-0.102712319675098,0.02302174941486,0.00777057733581592,-0.159102951804316,-0.116967405826945,0.634427428233704
38,0.0997560928209478,-0.266680777139878,-0.0993078498647492,0.0184785186460739,0.0445949621269973,-0.0968269612450163,-0.114886772517044,0.842887907036527
39,0.0512678042071987,-0.257828223591966,-0.0988624483835988,0.0211347790585905,0.00887770731866721,-0.105944155020659,0.0174782760761391,0.765910551036976
40,-0.0145877210156402,-0.249368218860338,-0.081283434686102,0.0179110044216876,-0.0868707748773008,-0.226220539861422,-0.0692605104212921,0.491755784717099
41,0.0715929335047476,-0.227454760040064,-0.11311091682611,0.0234583475646583,-0.0347611284471261,-0.298971346739575,-0.0986129140510059,0.75225942976541
42,0.171021930130977,-0.231999372876908,-0.123611304104442,0.0302214461883914,0.111961374618625,-0.0687756385369407,-0.0962079509159523,0.714700410231002
43,0.162775283942376,-0.253160286783631,-0.113114719314284,0.0230746927690677,0.0899467385884713,-0.11984259011353,-0.188778086834963,0.624467346875422
44,0.176458300487931,-0.229121127296315,-0.0817080471829832,0.0175163539707212,0.0777788390433461,-0.255631401960177,-0.124219012651812,0.800620286622099
45,0.057682369190712,-0.234181133748649,-0.0761280560570994,0.0220422433563371,0.0203883370352887,-0.0623473591262051,-0.0863103518869324,0.664170039288104
46,0.0134870402106904,-0.25907239315435,-0.0673729494583366,0.028317095509809,-0.0571215174337318,-0.111905436486976,-0.283315372506683,0.512113262784819
47,0.12102700549526,-0.24078383915783,-0.0754094742186177,0.023046045802759,0.0437337746096575,-0.159916835096978,-0.133429089720206,0.83736925587167
48,0.0662931071839398,-0.240679296696999,-0.0899565407842225,0.0231421097180105,0.00742768138171207,-0.128049072268726,-0.00785730207611559,0.87238849418905
49,0.097824760108646,-0.257353296099499,-0.0766694576697486,0.0282388663992453,0.0333762526317215,-0.11757054142601,-0.118599765792493,0.512762975896562
50,0.0922736758049544,-0.224140780287675,-0.0918802665739522,0.0278942062650563,0.0434343170121995,-0.0868551000108246,-0.0891125113762509,0.684774080118861
51,0.0805927631612803,-0.254546438247039,-0.101667911199245,0.0210589378095273,0.012128648671078,-0.149715565351516,-0.0555213839091372,0.706402166591146
52,0.00276770444619403,-0.244438533410022,-0.0777941386997459,0.0251971254434901,-0.045147884284758,-0.131348492865884,0.00817366252591638,0.734153765962574
53,0.0465962175719549,-0.2397047771995,-0.0895253759426683,0.0234206011444825,-0.0063964566049798,-0.0997464651656955,-0.0713145361052826,0.840765096446547
54,0.0807536767437352,-0.231391295417917,-0.0675906247343362,0.0139922739898122,0.0136415362053678,-0.194479282882885,-0.0565131370149438,0.829440780942338
55,0.127056836097407,-0.236666079751993,-0.107879162134817,0.0265739204470836,0.0463407072000338,-0.179550374211585,-0.16986800790826,0.697953494739254
56,0.114845683184885,-0.256597426347078,-0.105938514796755,0.0175543969551468,0.042540281214973,-0.182837665361887,-0.0939415651147129,0.523837401503092
57,0.121368018983825,-0.229120462853919,-0.0839600807504128,0.0151274972853926,0.0503376516606059,-0.211690804441335,-0.0767812885583698,0.621026262689535
58,0.104956709181585,-0.252476381121553,-0.0838896905372742,0.0257714557769203,0.038855449000955,-0.097250446842518,-0.0912474522055691,0.914933526602633
59,0.0850474615826025,-0.249173875802735,-0.0857295343619908,0.0234561897460442,-0.00488075201552959,-0.239041717765806,0.00994246539930538,0.880599622889927
60,0.0406483889098528,-0.225025350249896,-0.104583481274146,0.0154326262917589,-0.027104320944177,-0.203286997387168,-0.0367326368580141,0.804343598060122
61,0.132900621073989,-0.225745709688574,-0.0641041675564337,0.0158460099034381,0.077791370656229,-0.157097327332012,-0.0598284322504514,0.609017654633778
62,0.174724760048862,-0.239788844894337,-0.0934075994883821,0.018954555543361,0.128083136881302,-0.128343851784018,0.0325209769052924,0.773672578211766
63,0.00140412973732537,-0.273434815054306,-0.0811501523471683,0.0178016873346475,-0.0602057216765053,-0.100541891582592,-0.133012049744775,0.829659273405257
64,0.115073248157705,-0.238696043203458,-0.0955279147703996,0.0226705492885799,0.0579729774339417,-0.118271181454148,0.0325330844694949,0.948863678551928
65,0.0755773473176072,-0.243359568781959,-0.0902367524219724,0.0205478629252808,0.00130661520808946,-0.209107137679742,-0.0752593976719886,0.428457797060125
66,0.0961856028436929,-0.244741919338133,-0.0827070598298802,0.0275470298500912,-0.0039203873490947,-0.235262854186525,-0.223658983316974,0.534528315282023
67,0.0749051118457785,-0.249019692467349,-0.10312791865946,0.0225307707430921,0.00980393024587516,-0.15059930056369,0.0295294319004925,0.957542447850662
68,0.0973605481496143,-0.245879670621596,-0.0648423806259021,0.0240411459232443,0.0461945600900953,-0.0992079258507311,-0.0868485363484232,0.745989357174858
69,0.230675659146689,-0.237154583313057,-0.118571866901501,0.0198273408313394,0.140479536847764,-0.156145184440962,-0.216949804463951,0.777617563206355
70,0.175635954630895,-0.257645894846608,-0.0883065217333313,0.0186394945588242,0.115887319692139,-0.114746167965626,-0.0618676273935775,0.770409599749307
71,0.0129644318180295,-0.230535982593119,-0.105464393312886,0.0280262626143494,-0.107211368748047,-0.293491135476906,-0.11525408701105,0.771661016382849
