"boot","b1","b21","b22","b3","b41","b42"
598,0.0861844623436921,-0.133412505242143,0.0169654269986942,0.0658782535578762,-0.125398282806367,0.759153173397579
599,-0.0048366578455783,-0.130877242097719,0.0131223625496824,-0.0319745566962539,-0.172925019492774,0.85400938395699
600,0.0410778514235658,-0.144573493428302,0.0217876910724374,0.00385207289929993,-0.184028142243359,0.860564761145769
601,0.0288836566091286,-0.128886835424838,0.0104934249663289,0.0100804217733795,-0.221240336117772,0.434554792670469
602,0.0191970957390968,-0.164424751339862,0.0141727881022237,-0.0183374750711115,-0.247111954964067,0.725932349375669
603,-0.047263683011195,-0.126459206061541,0.0130852067868954,-0.0800274826581025,-0.243654695807309,0.687895468320973
604,0.0130546321588123,-0.105904549959598,0.0035616054330494,-0.00096384597188342,-0.15699666454145,0.646131204120626
605,-0.0793774436572176,-0.130935079264763,0.00924921131382384,-0.0971314532683145,-0.157298037966582,0.853669975227208
606,0.0806219656427324,-0.130056691553401,0.0113729371503175,0.0606956469097771,-0.131786201134633,0.898964129324749
607,0.130521253959737,-0.133031071087951,0.012584345682241,0.105544695866712,-0.148224837699879,0.769116570022933
608,0.0444190627013379,-0.158964867267147,0.00861943488317749,0.0255060250182767,-0.120888794899101,0.502073185295393
609,0.0634726656227043,-0.115778752433156,0.00710654848185505,0.0480622892640645,-0.161220996191669,0.74086858467144
610,0.0885119217794654,-0.131378728469292,0.0172634761220893,0.057572685229391,-0.238699537527669,0.712431645452376
611,0.094625664166009,-0.113203705746739,0.00849998017055753,0.0839748001836466,-0.127450696461412,0.649474863157104
612,-0.0253967897655164,-0.135733729908859,0.0176698725173975,-0.0611127755209046,-0.183096958383499,0.920592575038012
613,0.0351754638883359,-0.151186356960856,0.00831487920219243,0.00943449803644447,-0.172622984521791,0.647648249566614
614,0.0632417211172283,-0.121024095986263,0.00879350934791922,0.0424321736568045,-0.266907524136765,0.510267792660154
615,0.116707240570479,-0.120148959305876,0.0118607051503922,0.100678176436134,-0.142453471624297,0.513741325135181
616,0.0180284827649546,-0.131518615399053,0.0116132776433835,-0.0104347706648147,-0.111010412170528,1.01029744884969
617,0.00659270672853156,-0.111704212181415,0.0157158563335965,-0.0213538314393961,-0.147760921300576,1.06585018520001
618,-0.0788859737702478,-0.136476060597324,0.00607852425022211,-0.113852327762736,-0.288054889496234,0.669651838026087
619,0.0991122745057722,-0.128961977333368,0.0151489658263345,0.0858695820284313,-0.0449583698274075,0.636014956120575
620,0.00471709868485295,-0.124914294609975,0.0136799451165612,-0.0155886168650479,-0.156863491863247,0.555558450818249
621,0.00472915226848418,-0.125324493936714,0.017335108036045,-0.0162266120439154,-0.137877832498142,0.718952244455881
622,0.00693086159087845,-0.164714249765387,0.0106712900652928,-0.0120982557429955,-0.109092046229668,0.564547513429456
623,0.0114265880412596,-0.149024870402497,0.0161292795894446,-0.0139490942778523,-0.164846119790545,0.812285673610379
624,-0.0126691221503058,-0.143741454251409,0.0125562382911617,-0.0442199424938538,-0.202006265969016,0.479644118361211
625,0.057024003954787,-0.131284590521599,0.00951867713938509,0.0357894608894855,-0.147417292893012,0.576216778733492
626,0.069333030479451,-0.154992226392595,0.0158651863002993,0.0426450465800639,-0.168604352925869,0.64048486736604
627,-0.1187881771826,-0.171946682002812,0.0108786881792128,-0.155403564047243,-0.233203485148001,0.812392969077453
628,0.0520650146268391,-0.152499211172139,0.00932837218373038,0.0249102831702412,-0.208312164549616,0.78137807949849
629,0.00815653787435264,-0.123686472481979,0.00923235557023414,-0.0131734706542236,-0.222479533077074,0.700607171474008
630,-0.0288310010571614,-0.133073672936067,0.00972517674208381,-0.059878182572219,-0.238975016919664,0.681480325892434
631,-0.0348084000522543,-0.130394965054977,0.00626364552177811,-0.0682330433491712,-0.280963109777053,0.674637987823378
632,0.0664408735175799,-0.146368926141442,0.0115868004347577,0.0297476791485081,-0.239001174844549,0.669732998190281
633,0.0624680078859967,-0.13139562052103,0.0135120368800514,0.0399578606416133,-0.196832368696268,0.639197864168097
634,-0.115122064799861,-0.118182341977306,0.00412839924308874,-0.129866605990474,-0.146949154759383,0.821517134107423
635,0.0465241774599813,-0.13369597400514,0.0125801546325888,0.0251885886710199,-0.137379740984689,1.00845389059617
636,0.0643905562556697,-0.129083923042259,0.00824111642465221,0.039476159772274,-0.222037357030367,0.523675175140575
637,0.0417346300428019,-0.126522551925316,0.0154680543051852,0.0206002132796306,-0.112507482552925,0.746500445731025
638,0.0371588374920048,-0.13897410552378,0.00809919794900778,0.0183188234670285,-0.211918835323804,0.884678693632341
639,0.0574128971179187,-0.140567861954475,0.0208233443474243,0.0239978539237203,-0.235819729972529,0.703632424192633
640,0.0648125328770965,-0.139439912590836,0.0166795434290067,0.0507465782805318,-0.0487326292655285,0.658261738154187
641,0.124279181950957,-0.132897290854145,0.0171713819911831,0.0991917676635677,-0.176784696154678,0.613149789470195
642,-0.00995716574943529,-0.128609693040966,0.0162498307886995,-0.0298892768965796,-0.199046927367514,0.352023649478094
643,0.0311144952691431,-0.114542834202273,0.0197059273747856,0.00540231127721131,-0.297912307613057,0.516062373384358
644,-0.106508136166783,-0.12571492758709,0.0254806027503273,-0.134627732705774,-0.114116207293968,0.96336717749279
645,0.0664033618924953,-0.144305585819835,0.0119444607972872,0.0475086031704786,-0.166949923547775,0.677149124123437
646,-0.10445197657479,-0.130142933933854,0.0078801234012143,-0.120109336540568,-0.120164484884639,0.814300288979811
647,0.0168945438013183,-0.11215428055848,0.00365626662852895,0.00144692015063948,-0.175498227623391,0.563218537146689
648,0.00442959452122018,-0.1130453708113,0.0188298167381548,-0.00392439623722409,-0.0353493550155997,0.69234195459847
649,0.0636239341340377,-0.13324761157352,0.0134043065065433,0.0337882221957051,-0.265559001228514,0.529687029591447
650,-0.00541190829463387,-0.13295507698855,0.0120327752034199,-0.0413632767167693,-0.229499972249165,0.833933949283076
651,-0.0876901718291664,-0.12560672968882,0.00646201741024507,-0.0900651823946819,-0.000609596495679855,0.876296140567534
652,0.234342877059714,-0.158882045993649,0.019044426047823,0.20530898693473,-0.151837148948278,0.740428427879993
653,0.0478803201139171,-0.123962388559781,0.00468488841613301,0.0254295036672249,-0.21893965034397,0.720853646486178
654,0.048273995920199,-0.118252496555725,0.0141637126933015,0.024419998846153,-0.2100555499277,0.731028901029891
655,0.0694162275509485,-0.118889444559773,0.00757905788273364,0.0476346767435217,-0.180413800320487,0.893906318974065
656,-0.0306570026633729,-0.12450307884717,0.0179241314220627,-0.0491856349364625,-0.0558719318934542,0.88212381533181
657,-0.0117937822164018,-0.132072485921212,0.00888293907835272,-0.019463206359159,-0.0656041491108885,0.404696378350293
658,-0.0213859926633328,-0.117592248337692,0.0147585176031103,-0.0444007273679624,-0.11127505780362,0.921676524016728
659,0.106798429568722,-0.134363226849751,0.00810516385490196,0.0961912486942493,-0.14238921403482,0.78771083773925
660,0.0318312750700309,-0.12284862124611,0.0149184767050851,0.0138321301574997,-0.103059246368265,0.569131027577209
661,0.101894865760703,-0.142626675788491,0.0182479905174109,0.0815634883678784,-0.140903158477762,0.44767196848332
662,0.0122642574190985,-0.137906821018764,0.0150079775576793,-0.00813034803200669,-0.111464447409163,0.716704496704906
663,0.105223768636248,-0.13654407194456,0.017511968978769,0.0813810509372481,-0.145107223823544,0.679610483851219
664,0.0868785362215838,-0.137981787803895,0.0138876811933247,0.0680097006051677,-0.140224555348206,0.563472347894597
665,0.0168970302366221,-0.131530551096186,0.0107386967731432,0.00660985538621175,-0.0472806249555978,0.730625853060994
666,-0.0616713182328436,-0.15408413928851,0.0194975928917242,-0.0972725812707837,-0.175887622674096,1.03923509655659
667,0.0521188220116481,-0.123852825685561,0.0180700839440877,0.0262910670820075,-0.186155541753401,0.66950065223968
668,-0.0131401616417341,-0.121942061632948,0.00650881907161274,-0.0397175959656284,-0.23380788743829,0.872362507670885
669,0.0569271685390012,-0.148267156439813,0.00977603979158912,0.0429332236110227,-0.101069407422111,0.394531117504887
670,0.0849032216964111,-0.160242939761596,0.0202893655401933,0.0655314901850649,-0.0702469069538535,0.672119840274386
671,0.0478603882680594,-0.162924282681832,0.00934908985514544,0.0156184985484585,-0.235349209522447,0.837560219012988
672,0.0527020000137712,-0.146005865475476,0.00502631981498261,0.0329880952107254,-0.133487926244579,0.598789126277218
673,0.0492017924406654,-0.131065431729754,0.0180103007939538,0.0252405664256897,-0.118948948883471,0.797093057216215
674,0.0781091669787716,-0.120932355016615,0.0144881753684278,0.0630173164958956,-0.0974079950452046,0.459375558868285
675,-0.0880773420830107,-0.151955982743937,-0.000905339975885794,-0.0979545430253384,-0.0949448690423419,0.557339935900641
676,0.0370257427406387,-0.11234729586414,0.0133615263809507,0.0177676669926851,-0.181963840419498,0.986229844537671
677,-0.0437537452131402,-0.126266257193816,0.0154640628850938,-0.0670829226094971,-0.155499705296752,0.545137672190167
678,0.0841976955031484,-0.136558596170526,0.0145616196436598,0.0672193213963485,-0.157646627424486,0.782745135216163
679,0.0282773272851612,-0.154937866926107,0.00990172206004922,0.0055746825009833,-0.189994762386526,0.738095562712913
680,-0.0527699584554925,-0.136133844978389,0.0179182638519197,-0.0746735361652481,-0.0966247776225617,0.66459715370142
681,0.056884153858024,-0.120026453293756,0.0127237135486708,0.0348533650759057,-0.238788212921615,0.247321292962731
682,-0.0232033713756438,-0.157368194583744,0.0104139006906808,-0.0489124955322585,-0.193535715007662,0.975521751803709
683,0.0333515597578169,-0.12315942394949,0.0228609863151124,-0.00276848919516717,-0.224310591419666,0.720082062158149
684,0.0729246410904217,-0.15632154476984,0.015906691398246,0.0376142081873619,-0.230022546413378,0.783899062478825
685,0.0696074234446021,-0.127102680319981,0.0215856349798171,0.054352749878253,-0.0443313567175193,0.657814733970987
686,0.076364003968798,-0.136682841589642,0.0252811973365699,0.0259046168255417,-0.290071725377901,0.687292285541108
687,-0.0209963015055474,-0.135488369140512,0.0141891375786387,-0.0439847072793592,-0.179896328004793,0.565321339126436
688,0.033205853632163,-0.119040239882332,0.00923793330341793,0.0305727631343215,0.00784742119839054,0.670554941470078
689,0.115656571482321,-0.140693178229324,0.0235216284260416,0.0851515457909912,-0.0981740814922591,0.977212459999753
690,0.126320183696352,-0.118217148489354,0.0218324824297663,0.106410623413714,-0.0412388646306296,0.87408185446967
691,0.055559316739738,-0.144223413457346,0.0163340547210605,0.0178025547887642,-0.184864643462499,0.885302651455369
692,-0.0878089947523717,-0.156617538913278,0.0105944169606555,-0.114350815110458,-0.149369918666853,0.729996630648536
693,-0.00931021807089197,-0.114152415817846,-0.000575058415899926,-0.026077565608332,-0.207816861816639,0.767588300875238
694,-0.0244687734159767,-0.144893634580016,0.00737428768551045,-0.0530472948638221,-0.171464915833694,0.450951234422258
695,0.052822983591836,-0.135793799585095,0.0029225002552443,0.0331026293512366,-0.213364924116567,0.798992153169044
696,0.0605897285939327,-0.118947700035012,0.0153191562376706,0.0395243266867527,-0.154901106884936,0.516911743426079
697,-0.0336343443163072,-0.162221549334681,0.0130860447539096,-0.0383108424351172,-0.0299738990552996,0.676457608176302
698,-0.0208914158261198,-0.129525081542942,0.0240871653887936,-0.05449333319919,-0.148187623383294,0.843206176812746
699,0.0545215337704747,-0.166391500069361,0.0156868482393898,0.0305686378225112,-0.139143671545668,0.6652113900311
700,0.00897582834334655,-0.142900397751871,0.0210786142672439,-0.0318712465519707,-0.240973144059568,0.744066200197394
701,0.141621289069539,-0.113766328572741,0.0185195308406192,0.124049561487002,-0.136482776524008,0.618999992350066
702,0.0626726053266986,-0.139140561788446,0.0166075362775925,0.0391689206441623,-0.154043589923929,0.692066823980858
703,0.159716766294189,-0.129206824001449,0.0152679897162531,0.143930870336507,-0.11506416997707,0.556997413673555
704,0.067132007137157,-0.108867583929859,0.00589995107041461,0.0466217669156096,-0.235149352596326,0.772668130886233
705,0.119801666210847,-0.162808096500886,0.0263843775920869,0.0891421056069629,-0.11060642445373,0.898364590938827
706,-0.0228169185497227,-0.126065200432707,0.0139733933710828,-0.0421007038827604,-0.14182852251711,0.422038005963786
707,0.0397775997876775,-0.128820389776517,0.0148262025747466,0.019428461439568,-0.155633936799455,0.788607109873117
708,0.0639160883547635,-0.140206173597564,0.0168883998236588,0.0370461715927004,-0.148788255991858,0.547789248594059
709,0.0245771833412959,-0.139243853120927,0.0124750281997517,0.000700792643672813,-0.15822640940812,0.60123731870506
710,0.0459124951345129,-0.121783385882663,0.0138656755301631,0.0359419271760227,-0.0906900294737699,0.45254137664717
711,-0.00054342730047205,-0.113869787278995,0.00928342777660417,-0.00983486834509868,-0.088676592726541,0.709524069942428
712,0.107848864449828,-0.136778405887123,0.0207114835949701,0.0828572168781216,-0.119844775183393,0.911635180792178
713,0.0240629509681328,-0.143784870203821,0.0112921145369295,0.00413543207332459,-0.154651098342989,0.60375924746699
714,0.0673024706411863,-0.137533553491095,0.0176560205002808,0.0465828083290359,-0.0560051391649797,0.930130785110885
715,-0.0314192470607235,-0.158135315941206,0.0164046725791958,-0.0776825360301934,-0.253691808513156,0.733439271642666
716,0.0448145140440965,-0.140022023266863,0.0132929836881479,0.0103726187031869,-0.213830141135787,0.738884718682441
717,0.0585019966566668,-0.144831773770381,0.0217267336319959,0.0263435649357032,-0.188264484945493,0.695375208849481
718,-0.0207906699567316,-0.129278798949432,0.0203035309168594,-0.0473646263957511,-0.152550040987032,0.677849378141608
719,-0.0547112003510462,-0.14907522961021,0.0168546910329362,-0.076896727957134,-0.115887338964718,0.624325301048903
720,0.0999803911549788,-0.146094623284567,0.0183480749635864,0.081257764802654,-0.0869697804228891,0.612759794754762
721,0.0480439070875865,-0.11757913430531,0.0155735840591384,0.0265029518968038,-0.186975869471098,0.673980292097785
722,-0.00451498724845635,-0.110637543088393,0.0109924391465283,-0.00833088357296871,-0.0345365359095591,0.941944195322122
723,0.0544886152228516,-0.161170274701769,0.0157879924719219,0.0196091161674938,-0.177799039768646,0.828219209583901
724,0.0861025803592813,-0.118292986243639,0.00492117645035066,0.0759330267798557,-0.184785529186009,0.497487169278804
725,-0.00274603363691559,-0.15908062667029,0.0158908599507527,-0.0284479868271873,-0.145632086626157,0.62177089191543
