"boot","b1","b21","b22","b23","b3","b41","b42","b43"
21,-0.0182959678185125,-0.111038466556435,-0.0477875685177106,0.0316687443070126,-0.0468624668855801,-0.0763912201537873,-0.041931795929279,0.670774827973267
22,0.00144436702944432,-0.10652303891665,-0.0705079648839884,0.0241797345610354,-0.0349056308434467,-0.174180063109152,-0.238198044015808,0.410980741278637
23,0.109553256502578,-0.126104355434173,-0.0710009122000786,0.0293628320907492,0.0680373808080861,-0.168618190297208,-0.0517358762991216,0.830488694686307
24,0.111224527372955,-0.123875390012666,-0.0554653479296083,0.0234488812875174,0.0666819714160106,-0.223572498863963,-0.184277065883821,0.678629930454417
25,0.114659392410884,-0.167822236294773,-0.0531728697577259,0.0198169958139516,0.0739196324517767,-0.141585303946017,-0.0278665885055061,0.954051203289722
26,0.0837961031473329,-0.144823080134083,-0.0924291299524485,0.0234105395017434,0.0404640557188456,-0.228031342300337,-0.0396096590885945,0.681689813521434
27,0.0950461610655608,-0.148959576834482,-0.0633408474023804,0.0219592462994125,0.0593369107992168,-0.134560932819921,-0.134381197278595,0.527493677509562
28,0.0160285478030127,-0.113270405621388,-0.0476690929077603,0.0188355905144028,-0.0209441584505264,-0.275661005871289,-0.0890778052318322,0.893321036614855
29,0.04058285119432,-0.107427951242831,-0.0437217914243897,0.0232775318104163,-0.00635209755333355,-0.0587973744752649,-0.214121831781586,1.02287783563941
30,0.108851877323634,-0.136100739647365,-0.056214321574764,0.0304610296718852,0.0636355965752453,-0.149498369159518,-0.174281478025997,0.6691672478276
31,0.0132646570916417,-0.129231579664997,-0.0590921303356313,0.0204457227057025,-0.0148811631309638,-0.151605078693694,0.0131006177770441,0.715604826775821
32,0.0713766663771083,-0.126521659354652,-0.0537388141692841,0.0208452325619495,0.0390285250122326,-0.15786686831909,-0.0392304223634121,0.678575406935143
33,-0.0185768867652153,-0.102198662375307,-0.0769469652447011,0.0212333380249244,-0.0534449466707736,-0.0250674418208941,-0.19820849034667,0.875237523752147
34,0.0255192393161944,-0.136347448330365,-0.0218597449820451,0.023067640864314,-0.0104580873417422,-0.202211182082563,-0.0643119151325093,0.599153703553764
35,0.0655307484933668,-0.129366431942855,-0.0536188503400598,0.0234646716040757,0.0406426487069403,-0.131459365417148,-0.0578175528224922,0.411043698605855
36,0.0529997172769125,-0.15223628709206,-0.0632317254002061,0.0214615722695796,-0.0151195821209452,-0.24780807492222,-0.227241010875489,0.849259765472008
37,0.0501272041697916,-0.142687227536853,-0.0689810448221094,0.0274095657243618,0.00969065954955403,-0.159972772987621,-0.117050552282189,0.633787740544462
