,Data,X,M,other,Effect,Estimate,95_CI_Lower,95_CI_Upper
123,mesa_std,nPhysFac,FamIncome,race,Prop. Mediated,-0.19134,-0.0656,0.22686
124,mesa_std,nPhysFac,nutrition,race,ACME,0.00022,-0.00514,0.00479
125,mesa_std,nPhysFac,nutrition,race,ADE,0.0047,-0.10458,0.0943
126,mesa_std,nPhysFac,nutrition,race,Total Effect,-0.00679,-0.11355,0.08475
127,mesa_std,nPhysFac,nutrition,race,Prop. Mediated,-0.03279,-0.14702,0.32849
128,mesa_std,nPhysFac,PhysAct,race,ACME,-0.00027,-0.009,0.00731
129,mesa_std,nPhysFac,PhysAct,race,ADE,-0.00358,-0.1128,0.08989
130,mesa_std,nPhysFac,PhysAct,race,Total Effect,-0.0098,-0.11797,0.08531
131,mesa_std,nPhysFac,PhysAct,race,Prop. Mediated,0.02787,-0.12701,0.21337
132,mesa_std,nPhysFac,currentSmoker,race,ACME,0.00015,-0.00178,0.00246
133,mesa_std,nPhysFac,currentSmoker,race,ADE,-0.00935,-0.12269,0.09073
134,mesa_std,nPhysFac,currentSmoker,race,Total Effect,-0.00962,-0.12107,0.0898
135,mesa_std,nPhysFac,currentSmoker,race,Prop. Mediated,-0.01511,-0.03813,0.00258
136,mesa_std,nPhysFac,alc,race,ACME,-0.00013,-0.00395,0.00304
137,mesa_std,nPhysFac,alc,race,ADE,-0.00375,-0.10505,0.08663
138,mesa_std,nPhysFac,alc,race,Total Effect,-0.00476,-0.10579,0.08641
139,mesa_std,nPhysFac,alc,race,Prop. Mediated,0.02783,0.00661,0.06085
140,mesa_std,nRS,FamIncome,race,ACME,-0.00917,-0.01979,0.00108
141,mesa_std,nRS,FamIncome,race,ADE,0.09215,-0.00965,0.19393
142,mesa_std,nRS,FamIncome,race,Total Effect,0.09646,-0.00683,0.1996
143,mesa_std,nRS,FamIncome,race,Prop. Mediated,-0.09502,-0.13265,-0.04881
144,mesa_std,nRS,nutrition,race,ACME,-0.00102,-0.0035,0.00038
145,mesa_std,nRS,nutrition,race,ADE,0.09627,-0.01079,0.20617
146,mesa_std,nRS,nutrition,race,Total Effect,0.09835,-0.00781,0.20862
147,mesa_std,nRS,nutrition,race,Prop. Mediated,-0.01039,-0.02474,0.00514
148,mesa_std,nRS,PhysAct,race,ACME,-0.00159,-0.00569,0.00079
149,mesa_std,nRS,PhysAct,race,ADE,0.09679,-0.00843,0.19408
150,mesa_std,nRS,PhysAct,race,Total Effect,0.09791,-0.0074,0.19465
151,mesa_std,nRS,PhysAct,race,Prop. Mediated,-0.01622,-0.0403,0.00824
152,mesa_std,nRS,currentSmoker,race,ACME,0.00543,-0.00055,0.01223
153,mesa_std,nRS,currentSmoker,race,ADE,0.09326,-0.00965,0.19823
154,mesa_std,nRS,currentSmoker,race,Total Effect,0.09533,-0.00633,0.19935
155,mesa_std,nRS,currentSmoker,race,Prop. Mediated,0.05699,0.03464,0.07776
156,mesa_std,nRS,alc,race,ACME,-0.00325,-0.00729,8e-05
157,mesa_std,nRS,alc,race,ADE,0.10009,-0.00239,0.1966
158,mesa_std,nRS,alc,race,Total Effect,0.09986,-0.00086,0.1965
159,mesa_std,nRS,alc,race,Prop. Mediated,-0.03256,-0.04652,-0.01804
160,mesa_std,nSES,FamIncome,site,ACME,-0.01358,-0.04625,0.01891
161,mesa_std,nSES,FamIncome,site,ADE,0.04277,-0.06064,0.14622
162,mesa_std,nSES,FamIncome,site,Total Effect,0.05775,-0.04005,0.16073
163,mesa_std,nSES,FamIncome,site,Prop. Mediated,-0.23517,-1.39149,0.75877
164,mesa_std,nSES,nutrition,site,ACME,-0.00254,-0.00735,0.0017
165,mesa_std,nSES,nutrition,site,ADE,0.05464,-0.03868,0.15712
166,mesa_std,nSES,nutrition,site,Total Effect,0.06206,-0.03117,0.16185
167,mesa_std,nSES,nutrition,site,Prop. Mediated,-0.04085,-0.08654,-0.0049
168,mesa_std,nSES,PhysAct,site,ACME,-0.00623,-0.0201,0.00656
169,mesa_std,nSES,PhysAct,site,ADE,0.04819,-0.04684,0.15128
170,mesa_std,nSES,PhysAct,site,Total Effect,0.06101,-0.03514,0.16713
171,mesa_std,nSES,PhysAct,site,Prop. Mediated,-0.10216,-0.33183,0.09934
172,mesa_std,nSES,currentSmoker,site,ACME,0.00231,-0.00152,0.00672
173,mesa_std,nSES,currentSmoker,site,ADE,0.05621,-0.03613,0.15849
174,mesa_std,nSES,currentSmoker,site,Total Effect,0.06094,-0.03362,0.16183
175,mesa_std,nSES,currentSmoker,site,Prop. Mediated,0.03795,-0.00296,0.07559
176,mesa_std,nSES,alc,site,ACME,-0.0046,-0.01255,0.00276
177,mesa_std,nSES,alc,site,ADE,0.05969,-0.03584,0.16511
178,mesa_std,nSES,alc,site,Total Effect,0.05916,-0.04069,0.16378
179,mesa_std,nSES,alc,site,Prop. Mediated,-0.07782,-0.17385,-0.01048
180,mesa_std,nFavFood,FamIncome,site,ACME,0.00458,-0.00212,0.01314
181,mesa_std,nFavFood,FamIncome,site,ADE,-0.07241,-0.18416,0.03167
182,mesa_std,nFavFood,FamIncome,site,Total Effect,-0.06157,-0.17215,0.04059
183,mesa_std,nFavFood,FamIncome,site,Prop. Mediated,-0.07431,-0.16939,0.05872
184,mesa_std,nFavFood,nutrition,site,ACME,-0.00194,-0.00594,0.00174
185,mesa_std,nFavFood,nutrition,site,ADE,-0.05352,-0.15471,0.0449
186,mesa_std,nFavFood,nutrition,site,Total Effect,-0.06432,-0.16777,0.0346
187,mesa_std,nFavFood,nutrition,site,Prop. Mediated,0.03024,-0.04916,0.10412
188,mesa_std,nFavFood,PhysAct,site,ACME,-0.00185,-0.00621,0.00145
189,mesa_std,nFavFood,PhysAct,site,ADE,-0.06022,-0.17043,0.0463
190,mesa_std,nFavFood,PhysAct,site,Total Effect,-0.06145,-0.17139,0.04457
191,mesa_std,nFavFood,PhysAct,site,Prop. Mediated,0.0301,0.00516,0.05284
192,mesa_std,nFavFood,currentSmoker,site,ACME,0.00028,-0.00157,0.00217
193,mesa_std,nFavFood,currentSmoker,site,ADE,-0.06512,-0.17507,0.03706
194,mesa_std,nFavFood,currentSmoker,site,Total Effect,-0.06443,-0.16934,0.03698
195,mesa_std,nFavFood,currentSmoker,site,Prop. Mediated,-0.00439,-0.027,0.01724
196,mesa_std,nFavFood,alc,site,ACME,0.0006,-0.00051,0.00246
197,mesa_std,nFavFood,alc,site,ADE,-0.06454,-0.17818,0.03878
198,mesa_std,nFavFood,alc,site,Total Effect,-0.06455,-0.17604,0.036
199,mesa_std,nFavFood,alc,site,Prop. Mediated,-0.00937,-0.02377,0.00384
200,mesa_std,nPhysFac,FamIncome,site,ACME,5e-05,-0.01078,0.00943
201,mesa_std,nPhysFac,FamIncome,site,ADE,0.00046,-0.11051,0.09316
202,mesa_std,nPhysFac,FamIncome,site,Total Effect,-0.00354,-0.1124,0.08847
203,mesa_std,nPhysFac,FamIncome,site,Prop. Mediated,-0.01288,-0.04375,0.2607
204,mesa_std,nPhysFac,nutrition,site,ACME,0.0002,-0.00487,0.00457
205,mesa_std,nPhysFac,nutrition,site,ADE,0.00427,-0.10054,0.0947
206,mesa_std,nPhysFac,nutrition,site,Total Effect,-0.00654,-0.11127,0.08525
207,mesa_std,nPhysFac,nutrition,site,Prop. Mediated,-0.03098,-0.07834,0.23387
208,mesa_std,nPhysFac,PhysAct,site,ACME,-0.00017,-0.00812,0.00735
209,mesa_std,nPhysFac,PhysAct,site,ADE,-0.00224,-0.10688,0.08919
210,mesa_std,nPhysFac,PhysAct,site,Total Effect,-0.0085,-0.11315,0.08458
211,mesa_std,nPhysFac,PhysAct,site,Prop. Mediated,0.01996,-0.12003,0.25531
212,mesa_std,nPhysFac,currentSmoker,site,ACME,7e-05,-0.00175,0.002
213,mesa_std,nPhysFac,currentSmoker,site,ADE,-0.00444,-0.10955,0.08963
214,mesa_std,nPhysFac,currentSmoker,site,Total Effect,-0.00655,-0.10972,0.08722
215,mesa_std,nPhysFac,currentSmoker,site,Prop. Mediated,-0.0104,-0.04017,0.00613
216,mesa_std,nPhysFac,alc,site,ACME,-0.00022,-0.00393,0.00287
217,mesa_std,nPhysFac,alc,site,ADE,-0.00618,-0.11005,0.08531
218,mesa_std,nPhysFac,alc,site,Total Effect,-0.00624,-0.11036,0.08545
219,mesa_std,nPhysFac,alc,site,Prop. Mediated,0.03456,0.00805,0.07422
220,mesa_std,nRS,FamIncome,site,ACME,-0.00124,-0.01128,0.00805
221,mesa_std,nRS,FamIncome,site,ADE,0.01245,-0.08037,0.10941
222,mesa_std,nRS,FamIncome,site,Total Effect,0.01786,-0.07405,0.11191
223,mesa_std,nRS,FamIncome,site,Prop. Mediated,-0.06963,-0.22862,0.09127
224,mesa_std,nRS,nutrition,site,ACME,-0.00016,-0.0016,0.00104
225,mesa_std,nRS,nutrition,site,ADE,0.01477,-0.08939,0.10418
226,mesa_std,nRS,nutrition,site,Total Effect,0.01884,-0.08234,0.10663
227,mesa_std,nRS,nutrition,site,Prop. Mediated,-0.00827,-0.03316,0.00768
228,mesa_std,nRS,PhysAct,site,ACME,-0.00034,-0.00279,0.00177
229,mesa_std,nRS,PhysAct,site,ADE,0.02013,-0.08104,0.1088
230,mesa_std,nRS,PhysAct,site,Total Effect,0.02231,-0.07595,0.11111
231,mesa_std,nRS,PhysAct,site,Prop. Mediated,-0.0151,-0.04547,0.01178
232,mesa_std,nRS,currentSmoker,site,ACME,0.00047,-0.00508,0.00621
233,mesa_std,nRS,currentSmoker,site,ADE,0.00817,-0.09006,0.10236
234,mesa_std,nRS,currentSmoker,site,Total Effect,0.01883,-0.07917,0.11345
235,mesa_std,nRS,currentSmoker,site,Prop. Mediated,0.02506,-0.11396,0.21312
236,mesa_std,nRS,alc,site,ACME,-0.00067,-0.00376,0.0026
237,mesa_std,nRS,alc,site,ADE,0.02071,-0.07688,0.11091
238,mesa_std,nRS,alc,site,Total Effect,0.02093,-0.07953,0.11047
239,mesa_std,nRS,alc,site,Prop. Mediated,-0.03184,-0.05968,-0.00893
240,mesa_std,nSES,FamIncome,,ACME,-0.01904,-0.05137,0.01328
241,mesa_std,nSES,FamIncome,,ADE,0.05996,-0.04109,0.16449
242,mesa_std,nSES,FamIncome,,Total Effect,0.06982,-0.02791,0.16668
243,mesa_std,nSES,FamIncome,,Prop. Mediated,-0.27271,-0.79156,0.31622
244,mesa_std,nSES,nutrition,,ACME,-0.00276,-0.00719,0.00146
245,mesa_std,nSES,nutrition,,ADE,0.05944,-0.03094,0.15513
246,mesa_std,nSES,nutrition,,Total Effect,0.06766,-0.02185,0.16339
247,mesa_std,nSES,nutrition,,Prop. Mediated,-0.04072,-0.09645,0.00498
248,mesa_std,nSES,PhysAct,,ACME,-0.00731,-0.02063,0.00649
249,mesa_std,nSES,PhysAct,,ADE,0.05622,-0.04665,0.15942
250,mesa_std,nSES,PhysAct,,Total Effect,0.06815,-0.03126,0.17203
251,mesa_std,nSES,PhysAct,,Prop. Mediated,-0.10728,-0.25701,0.15407
252,mesa_std,nSES,currentSmoker,,ACME,0.00256,-0.00137,0.00693
253,mesa_std,nSES,currentSmoker,,ADE,0.06321,-0.03392,0.16697
254,mesa_std,nSES,currentSmoker,,Total Effect,0.06777,-0.03135,0.16913
255,mesa_std,nSES,currentSmoker,,Prop. Mediated,0.03778,0.01237,0.06692
256,mesa_std,nSES,alc,,ACME,-0.00522,-0.0128,0.00274
257,mesa_std,nSES,alc,,ADE,0.06761,-0.03573,0.1682
258,mesa_std,nSES,alc,,Total Effect,0.06785,-0.03262,0.1681
259,mesa_std,nSES,alc,,Prop. Mediated,-0.077,-0.14171,-0.02692
260,mesa_std,nFavFood,FamIncome,,ACME,0.00206,-0.00474,0.00963
261,mesa_std,nFavFood,FamIncome,,ADE,-0.03288,-0.14379,0.07133
262,mesa_std,nFavFood,FamIncome,,Total Effect,-0.02645,-0.13351,0.07431
263,mesa_std,nFavFood,FamIncome,,Prop. Mediated,-0.07794,-0.20312,0.03178
