"Data","Y","X","Me","b1_mean","b1_ci_lwr","b1_ci_upr","b2_mean","b2_ci_lwr","b2_ci_upr","b3_mean","b3_ci_lwr","b3_ci_upr","b4_mean","b4_ci_lwr","b4_ci_upr","b2_b4_mean","b2_b4_ci_lwr","b2_b4_ci_upr","TotalEffect_b1","b2","DirectEffect_b3","b4","IndirectEffect_b2_b4"
"jhs","cvd_10y_HF","nRS","FamIncome",0.0750363456661023,-0.0453589318643541,0.202177151768998,-0.135994632355244,-0.165796071192049,-0.1083027789621,0.0574343179278945,-0.0626580162875882,0.18766370444338,-0.176612525195461,-0.300429109294317,-0.0448509810811125,0.0240460209379653,0.0055409357914136,0.0432479128616085,"0.075 [-0.045, 0.202]","-0.136 [-0.166, -0.108]","0.057 [-0.063, 0.188]","-0.177 [-0.300, -0.045]","0.024 [0.006, 0.043]"
"jhs","cvd_10y_HF","nRS","PhysAct",0.0760223009988147,-0.053468324393986,0.198548091366755,-0.053521344678522,-0.0800253069518247,-0.0284317878120539,0.0678141300974626,-0.0610749304533179,0.193044646286809,-0.160770102796021,-0.312647513747627,-0.0173694705568473,0.0085363603065094,0.000850567819127376,0.0195327792561488,"0.076 [-0.053, 0.199]","-0.054 [-0.080, -0.028]","0.068 [-0.061, 0.193]","-0.161 [-0.313, -0.017]","0.009 [0.001, 0.020]"
"jhs","cvd_10y_HF","nRS","alc",0.0743894870437415,-0.0455198100621703,0.197077471084649,0.000240346260641943,-0.0153640585888202,0.0165195861386037,0.0744389406889218,-0.0452866378337589,0.195850549526196,-0.0155361472617266,-0.236369313931421,0.252391606136859,-3.19009279750445e-05,-0.00246217312096233,0.00219788563759368,"0.074 [-0.046, 0.197]","0.000 [-0.015, 0.017]","0.074 [-0.045, 0.196]","-0.016 [-0.236, 0.252]","-0.000 [-0.002, 0.002]"
"jhs","cvd_10y_HF","nRS","currentSmoker",0.0739480231343845,-0.0445684449769466,0.208009964520113,0.0242004564728008,0.0131906333974501,0.034912368304863,0.0580410325912595,-0.0629059495691006,0.19282222491957,0.737311413810193,0.408722417434067,1.0471587728602,0.0178218094270701,0.00768158448809394,0.0305956454062077,"0.074 [-0.045, 0.208]","0.024 [0.013, 0.035]","0.058 [-0.063, 0.193]","0.737 [0.409, 1.047]","0.018 [0.008, 0.031]"
"jhs","cvd_10y_HF","nRS","nutrition",0.0792724193374787,-0.0522506619929521,0.210065485138603,-0.013785019087486,-0.0296778384460479,0.00142240990630478,0.078725205451149,-0.0521715958936876,0.207592067580905,-0.0847035749039153,-0.32077152685072,0.121131344563609,0.00109538936715182,-0.00222291328316834,0.00579611842048577,"0.079 [-0.052, 0.210]","-0.014 [-0.030, 0.001]","0.079 [-0.052, 0.208]","-0.085 [-0.321, 0.121]","0.001 [-0.002, 0.006]"
"jhs","cvd_10y_HF","nSES","FamIncome",0.0801342249909026,-0.039797373412223,0.211941052279008,-0.243728485278212,-0.269871921753289,-0.216870286219835,0.0367279021918489,-0.0851985229213006,0.167104904090976,-0.16844166804928,-0.300854474786306,-0.0309043004330406,0.04099304353657,0.00787349371916607,0.0729991963864316,"0.080 [-0.040, 0.212]","-0.244 [-0.270, -0.217]","0.037 [-0.085, 0.167]","-0.168 [-0.301, -0.031]","0.041 [0.008, 0.073]"
"jhs","cvd_10y_HF","nSES","PhysAct",0.0847782261546526,-0.0323609663761715,0.200563790697194,-0.0896766684577592,-0.114126700985956,-0.0657112146570443,0.068533977289341,-0.0500846569280484,0.182026374952867,-0.156121866003897,-0.311241050608085,-0.0175087532372867,0.0139742042294593,0.00147658051696604,0.0297725853561174,"0.085 [-0.032, 0.201]","-0.090 [-0.114, -0.066]","0.069 [-0.050, 0.182]","-0.156 [-0.311, -0.018]","0.014 [0.001, 0.030]"
"jhs","cvd_10y_HF","nSES","alc",0.0804311722978245,-0.0385359740945761,0.20162690224421,-0.0325950218960559,-0.046941952954734,-0.0168070243360696,0.0804610387655602,-0.0416433683135132,0.204218455034527,0.000529931917888743,-0.248835073059245,0.255917119602688,1.77767567357386e-06,-0.00881428330527165,0.00848505307775252,"0.080 [-0.039, 0.202]","-0.033 [-0.047, -0.017]","0.080 [-0.042, 0.204]","0.001 [-0.249, 0.256]","0.000 [-0.009, 0.008]"
"jhs","cvd_10y_HF","nSES","currentSmoker",0.0792201042725634,-0.0373750667500821,0.209955166467405,0.0221266672330415,0.0112500232661008,0.0321712468875861,0.059435636195182,-0.0559615429560863,0.186478735317457,0.725956657386017,0.414105066312102,1.06187571298713,0.0160929031110999,0.00674145125443894,0.0278784839854045,"0.079 [-0.037, 0.210]","0.022 [0.011, 0.032]","0.059 [-0.056, 0.186]","0.726 [0.414, 1.062]","0.016 [0.007, 0.028]"
"jhs","cvd_10y_HF","nSES","nutrition",0.0796734153685539,-0.0353332385361826,0.199213696717119,-0.023296998246062,-0.0391371332978877,-0.00648045692870443,0.0788888070738693,-0.0363958071273393,0.197240362308601,-0.0797973704618012,-0.303327532839392,0.130829111329008,0.00187059825372915,-0.00309354940240767,0.00816894243612102,"0.080 [-0.035, 0.199]","-0.023 [-0.039, -0.006]","0.079 [-0.036, 0.197]","-0.080 [-0.303, 0.131]","0.002 [-0.003, 0.008]"
